"globalid";"LOCALIDAD";"COD_LOCALIDAD";"UBIC";"CTL1";"P5";"P6";"P7";"P7S1A";"P7S1B";"P9";"P10";"P11";"P11S3";"P12";"no_sabe_edad_fecha";"P13";"P14S1";"P14S2";"P14S3";"P14S4";"P14S5";"P14S6";"P14S7";"P14S8";"P15";"P16";"P16S1";"P17";"P17_2";"P17_3";"P18S1";"P18S2";"P19";"P20";"P21";"P22S1";"P22S2";"P22S3";"P22S4";"P22S5";"P22S6";"P22S7";"P23S1";"P23S2";"P23S3";"P23S4";"P23S5";"P23S6";"P23S7";"P23S8";"P23S9";"P23S10";"visita_municipio";"visita_pais";"ninguna_ciudad_f24";"P25S1";"P25S2";"P25S3";"P25S4";"P25S5";"P26";"P27";"P28";"P28_1S1";"P28_1S2";"P28_1S3";"P28_1S4";"P28_1S5";"P28_1S6";"P28_1S7";"P28_1S8";"P28_1S9";"P28_1S10";"P28_1S11";"P28_2";"P29S1";"P29S1A1";"P29S2";"P29S2A1";"P29S3";"P29S3A1";"P29S4";"P29S4A1";"P29S5";"P29S5A1";"P30S1";"P30S1A1";"P30S2";"P30S2A1";"P30S3";"P30S3A1";"P30S4";"P30S4A1";"P30S5";"P30S5A1";"P30S6";"P30S6A1";"P30S7";"P30S7A1";"P30S8";"P30S8A1";"P30S9";"P30S9A1";"P30_1";"P30_2";"P31";"P31S1";"P32";"P33S1";"P33S2";"P33S3";"P33S4";"P33S5";"P33S6";"P33S7";"P33S8";"P33S9";"P34";"P35S1";"P35S2";"P35S3";"P35S4";"P35S5";"P36";"P37S1";"P37S2";"P37S3";"P37S4";"P37S5";"P37S6";"P37S7";"P37S8";"P37S9";"P37S10";"P37_1";"P38";"P38_1";"P39";"P39_1";"P39_2";"P39_3";"P40";"P40S1A";"P40S1B";"P40S2";"P41";"P42";"P43";"P44";"P45";"RES_FIN"
"{FE170795-7E95-4A66-876A-B14344D9BD9E}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;2;1;;"60";0;6;4;4;4;4;4;4;4;4;1;3;1;8;5;6;"30";9;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;"1";"1";;2;2;2;1;2;9;3;2;;;;;;;;;;;;;1;2;2;;1;1;1;1;2;;2;;2;;1;30;2;;2;;2;;2;;2;;2;;3;;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;1;1;1;10;2;5;"2";"Vender";;;2;;;;2;1;;;;1
"{EA923F84-50D0-4177-A74D-8417472FB8D2}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";12;1;2;;"40";0;6;4;4;4;4;4;4;4;4;1;3;3;6;11;;"20";9;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;9;4;1;2;2;2;2;1;2;2;1;2;2;2;11;2;;2;;2;;2;;2;;1;25;2;;1;25;2;;2;;2;;2;;2;;2;;1;;2;;;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;9;1;5;"2";"Vender";;;2;;;;1;2;;;;1
"{8C698641-E2AB-48C3-AC5A-AE3034A8A7D8}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"41";0;6;4;4;4;4;4;4;4;4;1;3;2;10;;;"2";9;1;8;5;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;1;1;2;;;;;;;;;;;;;1;2;2;;2;;2;;2;;2;;1;20;2;;2;;2;;2;;2;;2;;2;;;1;1;1;;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;4;2;5;"8,9";"Construir";"Reparar";;1;8;10;3;1;2;;;;1
"{0DE6EAEB-5CCE-4F51-BD8F-EC0625AB2482}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"35";0;6;4;4;4;3;3;3;4;2;1;6;999;5;3;11;"0";8;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"1";"2";;2;2;2;2;2;9;1;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;2;;1;6;2;;2;;2;;2;;2;;2;;3;;1;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;1;2;2;2;2;2;1;2;1;2;2;5;"8";"Construir";;;1;30;0;3;1;2;;;;1
"{4DE82932-7427-4EDB-99DE-C1D5A4A1E5D8}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";11;1;3;1;"22";0;6;4;4;4;4;4;4;4;4;2;5;11;6;5;11;"0";8;1;11;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"1";"1";;2;2;2;2;2;9;4;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;1;21;1;12;2;;2;;2;;2;;2;;2;;2;2;1;1;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;1;2;1;2;2;5;"9";"Reparar";;;1;4;5;1;1;2;;;;1
"{4D668D6E-693F-4811-BBEB-337E60E8EFE1}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;2;;"40";0;6;4;4;4;4;4;3;4;4;1;7;5;5;6;11;"4";0;1;5;1;2;1;2;2;1;1;2;1;1;2;1;1;1;2;1;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;9;2;;1;2;2;;2;;2;;2;;1;36;1;27;1;18;1;36;1;36;1;24;2;;2;;2;3;1;1;;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;1;1;2;2;4;1;6;"1,7";"Elaborar artesanías y obras de arte";"Cocinar";;1;0;3;3;1;1;;;;1
"{BFC9E4FF-7E73-4E63-AE68-451374C13CC0}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"65";0;6;3;4;3;4;4;4;4;4;1;5;11;1;6;3;"59";0;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;9;4;1;2;2;2;2;1;1;2;2;2;2;2;11;2;;2;;2;;2;;2;;1;6;1;44;1;6;2;;2;;2;;1;21;2;;1;21;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;1;1;1;1;1;2;2;5;2;5;"8,7";"Construir";"Cocinar";;1;1;0;6;1;2;;;;1
"{B89E72F7-F57E-4B2B-862D-BED66BB5F9F8}";"Santa Fe";3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"25";3;1
"{1A2A52D4-9263-4EE0-AB73-4D874250FAAC}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"29";0;6;1;1;1;1;1;1;1;1;1;4;8;5;6;1;"5";0;1;7;1;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;"2";"2";"NoVisitadoNungunaCiudad";1;2;2;1;2;7;3;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;1;15;2;;2;;2;;2;;2;;2;;2;;;2;1;1;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;2;3;"7";"Cocinar";;;1;1;0;1;1;2;;;;1
"{DD6C06CF-5FD0-471F-9AE4-DC89EB02EDC8}";"Santa Fe";3;3;2;8;;1;"Santa Fe";"3";3;1;1;;"42";0;6;1;1;1;1;1;1;1;1;1;4;8;1;2;5;"20";0;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;"1";"1";;2;2;2;2;2;1;1;1;1;1;2;2;1;2;2;1;2;2;2;1;2;;2;;2;;2;;2;;2;;1;9;2;;1;16;2;;2;;2;;2;;2;;2;2;1;1;;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;"2";"Vender";;;1;4;0;2;1;2;;;;1
