"globalid","edad_menstrual","recibe_ayuda","migrante","discapacidad","orientacion_sexual","LGBTI"
"{FE170795-7E95-4A66-876A-B14344D9BD9E}",2,1,0,0,1,0
"{EA923F84-50D0-4177-A74D-8417472FB8D2}",NA,0,0,0,1,0
"{8C698641-E2AB-48C3-AC5A-AE3034A8A7D8}",NA,1,0,0,1,0
"{0DE6EAEB-5CCE-4F51-BD8F-EC0625AB2482}",NA,0,0,1,1,0
"{4DE82932-7427-4EDB-99DE-C1D5A4A1E5D8}",NA,0,1,0,1,0
"{4D668D6E-693F-4811-BBEB-337E60E8EFE1}",NA,1,0,0,2,1
"{BFC9E4FF-7E73-4E63-AE68-451374C13CC0}",NA,0,0,0,1,0
"{B89E72F7-F57E-4B2B-862D-BED66BB5F9F8}",NA,NA,NA,NA,NA,NA
"{1A2A52D4-9263-4EE0-AB73-4D874250FAAC}",NA,1,0,1,1,0
"{DD6C06CF-5FD0-471F-9AE4-DC89EB02EDC8}",NA,1,0,1,1,0
"{72CFA28B-AEB0-430A-8E29-8B3E8013D5BA}",NA,1,1,0,1,0
"{B1578110-5C5F-4129-B2E1-935C3FC8F0CD}",NA,NA,NA,NA,NA,NA
"{EB9D42B7-BDC5-4E09-8092-D49382416B9B}",NA,0,0,0,1,0
"{73BD6626-FAC4-4256-B2CD-ADEBA460A534}",NA,1,0,1,1,0
"{80A477AB-A663-4640-A5EA-69F650E10C57}",NA,1,1,1,1,0
"{38881B42-308C-4EAD-9C5C-665959EF0969}",NA,1,1,1,1,0
"{DC07BFFC-14E8-409F-8C9C-996D8D754897}",1,NA,NA,NA,NA,NA
"{A14E07C0-2351-4F4D-BC51-0F2A9EB18C7D}",NA,0,0,1,1,0
"{EF42A915-9E52-43F9-ABCC-DFE187680A4D}",NA,0,0,0,1,0
"{64078D90-B40B-4ECD-9E9C-7D5CC9CF67C6}",NA,NA,NA,NA,NA,NA
"{D4C74EBE-4266-4A6D-8DA2-ADB5BA238FBD}",NA,0,0,0,1,0
"{D631EB1D-CC6F-4002-8218-6FC224EFA0EA}",NA,1,0,0,1,0
"{E32F9506-0044-4CDF-9F4B-69EF6FF60F4A}",NA,0,0,0,1,0
"{4CC8AF58-3032-4962-8337-F17B5ED30B1F}",NA,0,0,0,1,0
"{CDB45347-8202-4FB7-B343-B3A0E8343D25}",NA,0,0,0,1,0
"{35FD8500-5962-4A29-8C44-482CE18EC05E}",NA,NA,NA,NA,NA,NA
"{B15BF920-546E-4FBC-93A9-C28167936550}",NA,1,0,1,1,0
"{35586000-BA7C-40E9-A74C-72ADEA2D7891}",NA,0,0,0,1,0
