localidad,edad,sexo,causa_inicio,causa_persistencia,consume_cigarrillo,consume_basuco,consume_marihuana,consume_alcohol,consume_inhalantes,consume_pepas,consume_cocaina,consume_heroina,causa_inicio_texto,causa_persistencia_texto
Santa Fe,60,Mujer,1.0,1.0,No,No,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,40,Hombre,1.0,1.0,Sí,No,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,41,Hombre,8.0,5.0,No,Sí,No,No,No,No,No,No,Por decisión propia,Falta de trabajo
Santa Fe,35,Hombre,2.0,1.0,No,No,Sí,No,No,No,No,No,Un problema de salud físico o mental,Consumo de sustancias psicoactivas
Santa Fe,22,Hombre,11.0,1.0,No,Sí,Sí,No,No,No,No,No,Por ser víctima o desplazado del conflicto armado,Consumo de sustancias psicoactivas
Santa Fe,40,Hombre,5.0,1.0,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,65,Hombre,1.0,1.0,Sí,Sí,Sí,No,No,No,Sí,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,29,Hombre,7.0,1.0,No,Sí,No,No,No,No,No,No,Abuso sexual,Consumo de sustancias psicoactivas
Santa Fe,42,Hombre,1.0,1.0,No,Sí,No,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,30,Hombre,8.0,2.0,Sí,Sí,No,No,No,No,No,No,Por decisión propia,Por decisión propia
Santa Fe,,,,,,,,,,,,,,
Santa Fe,57,Hombre,1.0,2.0,No,Sí,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,51,Hombre,3.0,1.0,Sí,Sí,No,No,No,No,No,No,Pérdida de fuente de ingresos suya o de su hogar,Consumo de sustancias psicoactivas
Santa Fe,30,Hombre,5.0,1.0,No,Sí,No,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,42,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,No,No,Sí,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,31,Hombre,8.0,1.0,No,No,Sí,No,No,No,No,No,Por decisión propia,Consumo de sustancias psicoactivas
Santa Fe,30,Hombre,5.0,1.0,No,Sí,No,No,Sí,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,72,Hombre,8.0,11.0,No,Sí,No,No,No,No,No,No,Por decisión propia,Ausencia de redes de apoyo adecuadas
Santa Fe,48,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,21,Hombre,1.0,2.0,No,No,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,30,Hombre,5.0,1.0,No,Sí,No,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,51,Hombre,3.0,1.0,No,Sí,No,Sí,No,No,No,No,Pérdida de fuente de ingresos suya o de su hogar,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
