localidad,latitud,longitud
Usaquén,4.6947,-74.0303
Chapinero,4.6486,-74.0628
Santa Fe,4.6097,-74.0745
San Cristóbal,4.558,-74.0836
Usme,4.4795,-74.1263
Tunjuelito,4.5722,-74.1319
Bosa,4.6185,-74.1774
Kennedy,4.628,-74.1567
Fontibón,4.6742,-74.1462
Engativá,4.7101,-74.1169
Suba,4.7413,-74.0834
Barrios Unidos,4.6676,-74.0838
Teusaquillo,4.6337,-74.091
Los Mártires,4.6041,-74.0921
Antonio Nariño,4.5895,-74.0989
Puente Aranda,4.6157,-74.1147
La Candelaria,4.5967,-74.0741
Rafael Uribe Uribe,4.558,-74.108
Ciudad Bolívar,4.5,-74.15
Sumapaz,4.05,-74.35
