localidad;total_personas;latitud;longitud
Los Mártires;1302;4,6041;-74,0921
Santa Fe;1236;4,6097;-74,0745
Kennedy;1005;4,628;-74,1567
Puente Aranda;625;4,6157;-74,1147
Rafael Uribe Uribe;599;4,558;-74,108
Engativá;589;4,7101;-74,1169
Suba;528;4,7413;-74,0834
Antonio Nariño;453;4,5895;-74,0989
Ciudad Bolívar;431;4,5;-74,15
Bosa;364;4,6185;-74,1774
Chapinero;354;4,6486;-74,0628
Barrios Unidos;317;4,6676;-74,0838
Teusaquillo;313;4,6337;-74,091
Fontibón;313;4,6742;-74,1462
Usaquén;305;4,6947;-74,0303
San Cristóbal;282;4,558;-74,0836
Tunjuelito;186;4,5722;-74,1319
Usme;162;4,4795;-74,1263
La Candelaria;143;4,5967;-74,0741
