anio,escenario_lineal,escenario_polinomial,tipo_dato
2007,8688,8587,Histórico
2008,8793,8743,Histórico
2009,8898,8893,Histórico
2010,9004,9036,Histórico
2011,9109,9173,Histórico
2012,9214,9304,Histórico
2013,9320,9429,Histórico
2014,9425,9547,Histórico
2015,9530,9660,Histórico
2016,9635,9766,Histórico
2017,9741,9865,Histórico
2018,9846,9959,Histórico
2019,9951,10046,Histórico
2020,10056,10127,Histórico
2021,10162,10202,Histórico
2022,10267,10271,Histórico
2023,10372,10333,Histórico
2024,10478,10389,Histórico
2025,10583,10439,Proyectado
2026,10688,10483,Proyectado
2027,10793,10520,Proyectado
2028,10899,10551,Proyectado
2029,11004,10576,Proyectado
2030,11109,10595,Proyectado
2031,11215,10607,Proyectado
2032,11320,10614,Proyectado
2033,11425,10614,Proyectado
2034,11530,10607,Proyectado
2035,11636,10595,Proyectado
2036,11741,10576,Proyectado
2037,11846,10551,Proyectado
2038,11952,10520,Proyectado
2039,12057,10483,Proyectado
2040,12162,10439,Proyectado
2041,12267,10389,Proyectado
2042,12373,10333,Proyectado
2043,12478,10271,Proyectado
2044,12583,10202,Proyectado
2045,12689,10127,Proyectado
2046,12794,10046,Proyectado
2047,12899,9959,Proyectado
2048,13004,9865,Proyectado
